Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C14, C16, C6",1206,4,10uF,C13585
"C11, C12, C20, C26",0805,4,100nF,C49678
"C18, C19",1206,2,1uF,C1848
C23,1206,1,22uF,C12891
"C4, C7",0805,2,10uF,C15850
D1,0805,1,LED,C2297
R1,0805,1,130,C178174
R10,0805,1,470k,C17709
R11,0805,1,10k,C17414
"R14, R15, R16, R22",0805,4,1k,C702831
"R17, R18",0805,2,2M2,C17513
"R20, R27",0805,2,22k,C702833
"R21, R28",0805,2,6.8k,C17772
U13,SOP65P640X120-14N,1,TPA6139A2PWR,C2870791
U2,DB24,1,PCM3010DB,C2873586
"U3, U4, U5, U6",SOT-23-5,4,TLV9061xDBV,C398358
