Designator,Mid X,Mid Y,Rotation,Layer
C10,123.0,-102.0,270.0,top
C11,128.0,-129.0,270.0,top
C12,119.0,-122.5375,270.0,top
C14,119.5,-102.0,270.0,top
C16,116.5,-102.0,270.0,top
C18,132.0,-74.5,90.0,top
C19,128.5,-74.5,90.0,top
C20,129.5,-70.5,0.0,top
C23,133.725,-139.6,270.0,top
C26,117.0,-90.0,270.0,top
C4,130.5,-113.5,0.0,top
C6,130.5,-116.5,0.0,top
C7,130.5,-111.0,0.0,top
D1,152.0,-65.0,180.0,top
R1,157.0,-65.0,0.0,top
R10,129.5,-91.5,270.0,top
R11,129.0,-78.5,0.0,top
R14,133.725,-134.6,270.0,top
R15,130.725,-139.6,270.0,top
R16,114.8625,-138.55,270.0,top
R17,117.8625,-138.55,90.0,top
R18,132.0,-130.0,180.0,top
R20,117.8625,-130.55,180.0,top
R21,117.8625,-127.55,0.0,top
R22,109.8625,-121.55,180.0,top
R27,118.5,-95.5,90.0,top
R28,121.5,-95.5,90.0,top
U13,123.15,-73.37,90.0,top
U2,130.0,-104.0,90.0,top
U3,114.8625,-122.55,180.0,top
U4,123.8625,-128.55,180.0,top
U5,137.8625,-134.55,180.0,top
U6,120.5,-90.5,270.0,top
