"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","LCSC Part #","Footprint","Datasheet"
"C1,C17","2","1uF","DNP","Excluded from BOM","","","Capacitor_THT:C_Rect_L16.5mm_W4.9mm_P15.00mm_MKT","~"
"C4,C7","2","10uF","","","","C1713","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C6,C10,C14,C16","4","10uF","","","","C1849","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C11,C12,C20,C26","4","100nF","","","","C1711","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C18","1","1uF","","","","C1848","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C19","1","1uf","","","","C1848","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C21","1","150p","DNP","Excluded from BOM","","","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"C22","1","100n","DNP","Excluded from BOM","","","Capacitor_THT:C_Rect_L9.0mm_W4.0mm_P7.50mm_MKT","~"
"C23","1","22uF","","","","C77088","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"C24","1","330p","DNP","Excluded from BOM","","","Capacitor_THT:C_Rect_L9.0mm_W4.0mm_P7.50mm_MKT","~"
"C25,C36","2","1n","DNP","Excluded from BOM","","","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"C37","1","330p","DNP","Excluded from BOM","","","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"D1","1","LED","","","","C6795833","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"J1,J4,J5,J6,J7,J8,J9,J10","8","Conn_01x01_Pin","DNP","Excluded from BOM","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"J2,J3","2","AudioJack3","DNP","Excluded from BOM","","","Connector_Audio:Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal","~"
"R1","1","130","","","","C178174","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R10","1","470k","","","","C49330265","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R11","1","10k","","","","C702829","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R12","1","0","DNP","Excluded from BOM","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R14,R15,R16,R22","4","1k","","","","C702831","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R17,R18","2","2M2","","","","C269574","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R20,R27","2","22k","","","","C702833","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R21,R28","2","6.8k","","","","C178216","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"U1","1","NUCLEO-L432KC","DNP","Excluded from BOM","","","ryan_footprints:MODULE_NUCLEO-L432KC",""
"U2","1","PCM3010DB","","","","C2873586","ryan_footprints:DB24","https://www.ti.com/lit/gpn/pcm3010"
"U3,U4,U5,U6","4","TLV9061xDBV","","","","C398358","Package_TO_SOT_SMD:SOT-23-5","https://www.ti.com/lit/ds/symlink/tlv9061.pdf"
"U13","1","TPA6139A2PWR","","","","C2870791","ryan_footprints:SOP65P640X120-14N",""
